FECHA,ROL,VICTIMA,SEXO,EDAD_VICTIMA
2016-10-25,CONDUCTOR,MOTO,SD,SD
2016-10-25,CONDUCTOR,MOTO,MASCULINO,30
2016-10-27,CICLISTA,BICICLETA,FEMENINO,33
2016-10-28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35
2016-10-31,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,20
2016-11-05,CONDUCTOR,MOTO,MASCULINO,46
2016-11-06,CONDUCTOR,MOTO,MASCULINO,35
2016-11-07,PEATON,PEATON,MASCULINO,83
2016-11-07,CONDUCTOR,MOTO,MASCULINO,39
2016-11-09,PEATON,PEATON,FEMENINO,29
2016-11-16,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,55
2016-11-16,CONDUCTOR,MOTO,MASCULINO,SD
2016-11-18,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,41
2016-11-18,PEATON,PEATON,SD,SD
2016-11-23,CONDUCTOR,MOTO,MASCULINO,42
2016-11-25,PEATON,PEATON,FEMENINO,83
2016-11-26,CONDUCTOR,MOTO,MASCULINO,38
2016-11-26,PEATON,PEATON,FEMENINO,29
2016-11-26,CONDUCTOR,MOTO,MASCULINO,23
2016-12-03,CONDUCTOR,MOTO,MASCULINO,23
2016-12-04,CONDUCTOR,AUTO,MASCULINO,23
2016-12-06,CONDUCTOR,CARGAS,MASCULINO,29
2016-12-06,PEATON,PEATON,MASCULINO,50
2016-12-07,PEATON,PEATON,MASCULINO,38
2016-12-10,CONDUCTOR,MOTO,MASCULINO,23
2016-12-11,CONDUCTOR,AUTO,MASCULINO,29
2016-12-12,CICLISTA,BICICLETA,MASCULINO,37
2016-12-13,CONDUCTOR,MOTO,MASCULINO,43
2016-12-15,CONDUCTOR,MOTO,MASCULINO,24
2016-12-19,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21
2016-12-25,CONDUCTOR,MOTO,SD,SD
2016-12-26,CONDUCTOR,MOTO,MASCULINO,38
2016-12-26,CONDUCTOR,MOTO,MASCULINO,35
2016-12-27,SD,SD,SD,SD
2016-12-27,PEATON,PEATON,FEMENINO,SD
2016-12-28,CONDUCTOR,MOTO,MASCULINO,28
2016-12-29,PEATON,PEATON,FEMENINO,27
2016-12-30,PEATON,PEATON,FEMENINO,7
2017-01-02,CONDUCTOR,MOTO,MASCULINO,18
2017-01-05,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,33
2017-01-11,PEATON,PEATON,MASCULINO,48
2017-01-16,CONDUCTOR,MOTO,MASCULINO,29
2017-01-16,CONDUCTOR,MOTO,MASCULINO,36
2017-01-16,CONDUCTOR,MOTO,MASCULINO,23
2017-01-22,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,29
2017-01-24,CONDUCTOR,MOTO,MASCULINO,30
2017-01-27,PEATON,PEATON,MASCULINO,4
2017-01-28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22
2017-02-02,PEATON,PEATON,MASCULINO,82
2017-02-03,CONDUCTOR,MOTO,MASCULINO,27
2017-02-06,CONDUCTOR,MOTO,MASCULINO,32
2017-02-09,CONDUCTOR,MOTO,MASCULINO,30
