FECHA,VEHICULO_VICTIMA,SEXO,EDAD_VICTIMA,GRAVEDAD,DIA_SEMANA
2019-01-06,SD,MASCULINO,,SD,6
2019-01-06,SD,MASCULINO,,SD,6
2019-01-06,SD,FEMENINO,,SD,6
2019-01-06,SD,MASCULINO,,SD,6
2019-01-06,SD,MASCULINO,,SD,6
2019-01-06,SD,MASCULINO,,SD,6
2019-01-06,SD,MASCULINO,,SD,6
2019-01-06,SD,MASCULINO,,SD,6
2019-01-06,SD,MASCULINO,,SD,6
2019-01-06,SD,FEMENINO,,SD,6
2019-01-06,SD,MASCULINO,,SD,6
2019-01-06,SD,MASCULINO,,SD,6
2019-01-06,SD,FEMENINO,,SD,6
2019-01-06,SD,FEMENINO,,SD,6
2019-01-06,SD,FEMENINO,,SD,6
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-03-13,SD,MASCULINO,,SD,2
2019-01-07,SD,MASCULINO,,SD,0
2019-03-13,SD,MASCULINO,SD,SD,2
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,FEMENINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-02-08,SD,MASCULINO,,SD,4
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-07-26,SD,MASCULINO,30,SD,4
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,FEMENINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,FEMENINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,FEMENINO,,SD,0
2019-01-07,SD,FEMENINO,,SD,0
2019-01-07,SD,FEMENINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,FEMENINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-07,SD,MASCULINO,,SD,0
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,FEMENINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,SD,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,FEMENINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,FEMENINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,FEMENINO,,SD,1
2019-01-04,SD,MASCULINO,,SD,4
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,SD,,SD,1
2019-01-08,SD,FEMENINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-08,SD,MASCULINO,,SD,1
2019-01-09,SD,MASCULINO,SD,SD,2
2019-01-09,SD,FEMENINO,SD,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,FEMENINO,,SD,2
2019-01-09,SD,FEMENINO,,SD,2
2019-01-09,SD,FEMENINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,MASCULINO,SD,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,FEMENINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,FEMENINO,SD,SD,2
2019-01-09,SD,FEMENINO,SD,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,MASCULINO,,SD,2
2019-01-09,SD,FEMENINO,,SD,2
2019-01-10,SD,MASCULINO,,SD,3
2019-01-10,SD,MASCULINO,,SD,3
2019-01-10,SD,FEMENINO,,SD,3
2019-01-10,SD,MASCULINO,,SD,3
2019-01-10,SD,SD,SD,SD,3
2019-01-10,SD,MASCULINO,,SD,3
2019-01-10,SD,FEMENINO,,SD,3
2019-01-10,SD,MASCULINO,,SD,3
2019-01-10,SD,MASCULINO,,SD,3
2019-01-10,SD,MASCULINO,,SD,3
2019-01-10,SD,MASCULINO,,SD,3
2019-01-10,SD,MASCULINO,,SD,3
2019-01-10,SD,MASCULINO,,SD,3
2019-01-10,SD,MASCULINO,,SD,3
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,FEMENINO,,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,MASCULINO,SD,SD,4
2019-01-11,SD,MASCULINO,SD,SD,4
2019-01-11,SD,MASCULINO,SD,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,SD,SD,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,FEMENINO,SD,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,FEMENINO,,SD,4
2019-01-11,SD,FEMENINO,,SD,4
2019-01-11,SD,FEMENINO,,SD,4
2019-01-11,SD,FEMENINO,,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,FEMENINO,,SD,4
2019-01-11,SD,FEMENINO,,SD,4
2019-01-11,SD,FEMENINO,,SD,4
2019-01-11,SD,MASCULINO,SD,SD,4
2019-01-11,SD,FEMENINO,,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,FEMENINO,,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,MASCULINO,SD,SD,4
2019-01-11,SD,MASCULINO,SD,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,FEMENINO,SD,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,FEMENINO,SD,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-11,SD,MASCULINO,,SD,4
2019-01-12,SD,FEMENINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,FEMENINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,FEMENINO,SD,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,MASCULINO,SD,SD,5
2019-01-12,SD,FEMENINO,,SD,5
2019-01-12,SD,FEMENINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,FEMENINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,FEMENINO,,SD,5
2019-01-12,SD,FEMENINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,FEMENINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-12,SD,MASCULINO,,SD,5
2019-01-13,SD,MASCULINO,,SD,6
2019-01-13,SD,FEMENINO,,SD,6
2019-01-13,SD,MASCULINO,,SD,6
2019-01-13,SD,MASCULINO,,SD,6
2019-01-13,SD,MASCULINO,,SD,6
2019-01-13,SD,FEMENINO,,SD,6
2019-01-13,SD,FEMENINO,,SD,6
2019-01-13,SD,FEMENINO,,SD,6
2019-01-13,SD,FEMENINO,,SD,6
2019-01-13,SD,MASCULINO,,SD,6
2019-01-13,SD,MASCULINO,SD,SD,6
2019-10-14,SD,MASCULINO,20,SD,0
2019-01-13,SD,FEMENINO,,SD,6
2019-01-13,SD,FEMENINO,,SD,6
2019-01-13,SD,MASCULINO,,SD,6
2019-01-13,SD,MASCULINO,,SD,6
2019-06-18,SD,MASCULINO,,SD,1
2019-01-13,SD,MASCULINO,,SD,6
2019-01-13,SD,MASCULINO,,SD,6
2019-01-13,SD,MASCULINO,,SD,6
2019-01-13,SD,FEMENINO,,SD,6
2019-01-13,SD,MASCULINO,,SD,6
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,FEMENINO,,SD,0
2019-01-14,SD,FEMENINO,,SD,0
2019-01-14,SD,FEMENINO,,SD,0
2019-01-14,SD,MASCULINO,SD,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,FEMENINO,,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,FEMENINO,SD,SD,0
2019-01-14,SD,MASCULINO,SD,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,SD,SD,SD,0
2019-01-14,SD,FEMENINO,SD,SD,0
2019-01-14,SD,FEMENINO,SD,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,FEMENINO,,SD,0
2019-01-14,SD,MASCULINO,SD,SD,0
2019-01-14,SD,FEMENINO,SD,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,SD,SD,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-14,SD,FEMENINO,,SD,0
2019-01-14,SD,MASCULINO,,SD,0
2019-01-15,SD,FEMENINO,,SD,1
2019-01-15,SD,MASCULINO,,SD,1
2019-01-15,SD,MASCULINO,,SD,1
2019-01-15,SD,MASCULINO,,SD,1
2019-01-15,SD,MASCULINO,,SD,1
2019-01-15,SD,FEMENINO,,SD,1
2019-05-15,SD,MASCULINO,,SD,2
2019-01-15,SD,FEMENINO,,SD,1
2019-05-15,SD,MASCULINO,,SD,2
2019-01-15,SD,MASCULINO,,SD,1
2019-01-15,SD,MASCULINO,,SD,1
2019-01-15,SD,FEMENINO,SD,SD,1
2019-01-15,SD,FEMENINO,SD,SD,1
2019-03-28,SD,FEMENINO,,SD,3
2019-01-15,SD,MASCULINO,,SD,1
2019-01-15,SD,MASCULINO,,SD,1
2019-01-15,SD,MASCULINO,,SD,1
2019-01-15,SD,SD,SD,SD,1
2019-01-15,SD,MASCULINO,,SD,1
2019-01-15,SD,FEMENINO,,SD,1
2019-01-15,SD,FEMENINO,,SD,1
2019-01-15,SD,SD,SD,SD,1
2019-01-15,SD,MASCULINO,,SD,1
2019-04-09,SD,FEMENINO,SD,SD,1
2019-01-15,SD,MASCULINO,,SD,1
2019-01-15,SD,FEMENINO,SD,SD,1
2019-01-15,SD,FEMENINO,,SD,1
2019-01-15,SD,FEMENINO,,SD,1
2019-01-15,SD,MASCULINO,,SD,1
2019-01-15,SD,MASCULINO,SD,SD,1
2019-01-15,SD,SD,SD,SD,1
2019-01-15,SD,FEMENINO,,SD,1
2019-01-15,SD,MASCULINO,,SD,1
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,MASCULINO,SD,SD,2
2019-01-16,SD,FEMENINO,,SD,2
2019-01-16,SD,FEMENINO,,SD,2
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,FEMENINO,,SD,2
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,FEMENINO,SD,SD,2
2019-01-16,SD,FEMENINO,SD,SD,2
2019-01-16,SD,FEMENINO,,SD,2
2019-01-16,SD,FEMENINO,,SD,2
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,MASCULINO,,SD,2
2019-01-16,SD,FEMENINO,,SD,2
2019-01-16,SD,FEMENINO,SD,SD,2
2019-01-17,SD,FEMENINO,SD,SD,3
2019-01-17,SD,FEMENINO,SD,SD,3
2019-01-17,SD,MASCULINO,,SD,3
2019-01-17,SD,MASCULINO,SD,SD,3
2019-01-17,SD,MASCULINO,SD,SD,3
2019-01-17,SD,MASCULINO,SD,SD,3
2019-01-17,SD,MASCULINO,SD,SD,3
2019-01-17,SD,MASCULINO,,SD,3
2019-01-17,SD,MASCULINO,,SD,3
2019-01-17,SD,FEMENINO,,SD,3
2019-01-17,SD,MASCULINO,,SD,3
2019-01-17,SD,SD,SD,SD,3
2019-01-17,SD,MASCULINO,,SD,3
2019-01-17,SD,MASCULINO,,SD,3
2019-01-17,SD,FEMENINO,,SD,3
2019-01-17,SD,FEMENINO,,SD,3
2019-01-17,SD,MASCULINO,,SD,3
2019-01-17,SD,MASCULINO,,SD,3
2019-01-17,SD,FEMENINO,,SD,3
2019-01-17,SD,MASCULINO,,SD,3
2019-01-17,SD,FEMENINO,,SD,3
2019-01-17,SD,MASCULINO,,SD,3
2019-01-17,SD,FEMENINO,,SD,3
2019-01-17,SD,FEMENINO,,SD,3
2019-01-17,SD,MASCULINO,,SD,3
2019-01-17,SD,FEMENINO,,SD,3
2019-01-17,SD,FEMENINO,SD,SD,3
2019-01-17,SD,FEMENINO,SD,SD,3
2019-01-17,SD,FEMENINO,,SD,3
2019-01-17,SD,MASCULINO,,SD,3
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,MASCULINO,SD,SD,4
2019-01-18,SD,MASCULINO,SD,SD,4
2019-01-18,SD,FEMENINO,,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,FEMENINO,,SD,4
2019-01-18,SD,FEMENINO,,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,FEMENINO,,SD,4
2019-01-18,SD,FEMENINO,,SD,4
2019-01-18,SD,FEMENINO,,SD,4
2019-01-18,SD,FEMENINO,,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,MASCULINO,SD,SD,4
2019-01-18,SD,SD,SD,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,SD,SD,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,FEMENINO,,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,FEMENINO,SD,SD,4
2019-01-18,SD,FEMENINO,SD,SD,4
2019-01-18,SD,FEMENINO,,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,FEMENINO,SD,SD,4
2019-01-18,SD,MASCULINO,SD,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,FEMENINO,SD,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-18,SD,MASCULINO,,SD,4
2019-01-19,SD,FEMENINO,,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-19,SD,FEMENINO,,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-19,SD,FEMENINO,,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-19,SD,FEMENINO,SD,SD,5
2019-01-19,SD,MASCULINO,,SD,5
2019-01-19,SD,FEMENINO,,SD,5
2019-01-19,SD,FEMENINO,SD,SD,5
